stock_code,optimal_weight,optimal_return,optimal_risk,
2089.KL,4.97E-02,0.185238582,0.052128119,
5228.KL,9.56E-02,,,
1155.KL,6.68E-02,,,
4006.KL,1.95E-02,,,
5209.KL,4.15E-02,,,
5347.KL,3.39E-20,,,
5983.KL,3.10E-02,,,
1066.KL,3.12E-02,,,
1818.KL,2.04E-02,,,
3301.KL,6.31E-02,,,
5176.KL,4.49E-02,,,
5109.KL,6.04E-02,,,
5236.KL,1.65E-02,,,
5606.KL,4.39E-02,,,
6432.KL,3.64E-02,,,
3476.KL,2.70E-03,,,
5227.KL,2.54E-02,,,
7100.KL,3.81E-02,,,
2488.KL,0.00E+00,,,
7084.KL,3.26E-02,,,
5014.KL,9.96E-03,,,
5212.KL,1.88E-02,,,
7103.KL,2.19E-02,,,
6351.KL,4.55E-02,,,
5398.KL,0.00E+00,,,
5008.KL,2.43E-02,,,
5878.KL,4.34E-19,,,
2305.KL,9.05E-02,,,
5819.KL,6.94E-02,,,
5185.KL,1.11E-18,,,
